published_date,number_of_stocks,total_quantity,total_turnover
1995-07-20,1,560.0,0.0
1995-07-26,1,150.0,0.0
1995-07-30,1,200.0,0.0
1995-08-02,1,18.0,0.0
1995-08-06,1,40.0,0.0
1995-08-08,1,110.0,0.0
1995-08-20,1,23.0,0.0
1995-08-24,1,200.0,0.0
1995-09-11,1,36.0,0.0
1995-09-17,1,18.0,0.0
1995-09-19,1,346.0,0.0
1995-09-27,1,38.0,0.0
1995-10-16,1,18.0,0.0
1995-10-31,1,210.0,0.0
1995-11-02,1,40.0,0.0
1995-11-05,1,28.0,0.0
1995-11-12,1,160.0,0.0
1995-11-16,1,80.0,0.0
1995-11-20,1,30.0,0.0
1995-11-23,1,10.0,0.0
1995-11-27,1,30.0,0.0
1995-12-04,1,500.0,0.0
1995-12-05,1,162.0,0.0
1995-12-06,1,62.0,0.0
1995-12-07,1,130.0,0.0
1995-12-12,1,200.0,0.0
1995-12-17,1,10.0,0.0
1995-12-24,1,10.0,0.0
1995-12-25,1,100.0,0.0
1996-01-04,1,100.0,0.0
1996-01-18,1,20.0,0.0
1996-01-23,1,50.0,0.0
1996-02-05,1,28.0,0.0
1996-02-12,1,146.0,0.0
1996-02-13,1,500.0,0.0
1996-02-18,1,76.0,0.0
1996-02-21,1,90.0,0.0
1996-02-25,1,45.0,0.0
1996-02-28,1,100.0,0.0
1996-03-03,1,80.0,0.0
1996-04-02,1,45.0,0.0
1996-04-23,1,58.0,0.0
1996-05-20,1,120.0,0.0
1996-05-29,1,100.0,0.0
1996-07-04,1,90.0,0.0
1996-07-07,1,10.0,0.0
1996-07-08,1,456.0,0.0
1996-07-09,1,17.0,0.0
1996-07-25,1,10.0,0.0
1996-07-28,1,72.0,0.0
1996-07-30,1,150.0,0.0
1996-08-07,1,364.0,0.0
1996-08-11,1,60.0,0.0
1996-08-13,1,71.0,0.0
1996-08-20,1,50.0,0.0
1996-08-25,1,35.0,0.0
1996-09-02,1,500.0,0.0
1996-09-05,1,126.0,0.0
1996-09-09,1,10.0,0.0
1996-09-12,1,20.0,0.0
1996-09-15,1,100.0,0.0
1996-09-23,1,52.0,0.0
1996-09-24,1,120.0,0.0
1996-09-29,1,60.0,0.0
1996-10-14,1,30.0,0.0
1996-10-15,1,36.0,0.0
1996-10-27,1,28.0,0.0
1996-11-18,1,404.0,0.0
1996-11-19,1,213.0,0.0
1996-11-21,1,270.0,0.0
1996-12-15,1,85.0,0.0
1996-12-26,1,24.0,0.0
1997-01-12,1,157.0,0.0
1997-02-02,1,500.0,0.0
1997-02-17,1,547.0,0.0
1997-02-24,1,242.0,0.0
1997-02-25,1,66.0,0.0
1997-02-26,1,304.0,0.0
1997-05-04,1,36.0,0.0
1997-06-03,1,44.0,0.0
1997-06-05,1,12.0,0.0
1997-06-23,1,150.0,0.0
1997-06-30,1,15.0,0.0
1997-07-02,1,40.0,0.0
1997-07-28,1,24.0,0.0
1997-07-30,1,76.0,0.0
1997-07-31,1,43.0,0.0
1997-08-05,1,100.0,0.0
1997-08-28,1,118.0,0.0
1997-09-08,1,11.0,0.0
1997-09-14,1,40.0,0.0
1997-09-16,1,63.0,0.0
1997-09-17,1,100.0,0.0
1997-09-18,1,307.0,0.0
1997-09-22,1,43.0,0.0
1997-09-24,1,140.0,0.0
1997-10-01,1,133.0,0.0
1997-10-05,1,20.0,0.0
1997-10-22,1,110.0,0.0
1997-10-23,1,18.0,0.0
1997-10-26,1,200.0,0.0
1997-10-27,1,262.0,0.0
1997-10-28,1,170.0,0.0
1997-10-29,1,26.0,0.0
1997-11-04,1,59.0,0.0
1997-11-09,1,233.0,0.0
1997-11-10,1,157.0,0.0
1997-11-18,1,26.0,0.0
1997-11-30,1,212.0,0.0
1997-12-03,1,100.0,0.0
1997-12-09,1,518.0,0.0
1997-12-11,1,71.0,0.0
1997-12-15,1,52.0,0.0
1997-12-16,1,100.0,0.0
1998-02-11,1,60.0,0.0
1998-02-15,1,99.0,0.0
1998-02-17,1,25.0,0.0
1998-02-22,1,100.0,0.0
1998-02-26,1,120.0,0.0
1998-03-03,1,75.0,0.0
1998-03-05,1,105.0,0.0
1998-03-08,1,35.0,0.0
1998-03-09,1,125.0,0.0
1998-03-11,1,82.0,0.0
1998-03-16,1,18.0,0.0
1998-03-23,1,86.0,0.0
1998-03-24,1,15.0,0.0
1998-03-26,1,154.0,0.0
1998-03-30,1,100.0,0.0
1998-03-31,1,185.0,0.0
1998-04-01,1,100.0,0.0
1998-04-02,1,471.0,0.0
1998-04-09,1,37.0,0.0
1998-04-16,1,200.0,0.0
1998-05-03,1,18.0,0.0
1998-05-04,1,230.0,0.0
1998-05-05,1,30.0,0.0
1998-05-13,1,50.0,0.0
1998-05-26,1,175.0,0.0
1998-05-27,1,440.0,0.0
1998-06-02,1,137.0,0.0
1998-06-10,1,46.0,0.0
1998-06-18,1,250.0,0.0
1998-06-19,1,250.0,0.0
1998-06-23,1,282.0,0.0
1998-07-07,1,139.0,0.0
1998-07-08,1,30.0,0.0
1998-07-12,1,100.0,0.0
1998-07-21,1,33.0,0.0
1998-07-22,1,220.0,0.0
1998-08-13,1,25.0,0.0
1998-08-18,1,30.0,0.0
1998-08-26,1,25.0,0.0
1998-09-10,1,125.0,0.0
1998-09-17,1,50.0,0.0
1998-09-24,1,120.0,0.0
1998-11-08,1,433.0,0.0
1998-12-15,1,100.0,0.0
1998-12-16,1,72.0,0.0
1998-12-20,1,200.0,0.0
1998-12-27,1,10.0,0.0
1998-12-31,1,25.0,0.0
1999-01-10,1,192.0,0.0
1999-01-12,1,18.0,0.0
1999-01-27,1,195.0,0.0
1999-02-02,1,138.0,0.0
1999-02-15,1,15.0,0.0
1999-02-22,1,250.0,0.0
1999-02-24,1,20.0,0.0
1999-02-25,1,53.0,0.0
1999-03-03,1,100.0,0.0
1999-03-30,1,265.0,0.0
1999-04-06,1,150.0,0.0
1999-04-08,1,47.0,0.0
1999-04-18,1,136.0,0.0
1999-04-21,1,15.0,0.0
1999-04-28,1,26.0,0.0
1999-05-06,1,500.0,0.0
1999-05-12,1,475.0,0.0
1999-05-17,1,101.0,0.0
1999-05-18,1,35.0,0.0
1999-05-19,1,146.0,0.0
1999-05-30,1,48.0,0.0
1999-06-03,1,106.0,0.0
1999-06-20,1,15.0,0.0
1999-07-01,1,130.0,0.0
1999-08-04,1,413.0,0.0
1999-08-15,1,125.0,0.0
1999-08-24,1,126.0,0.0
1999-08-30,1,300.0,0.0
1999-09-03,1,47.0,0.0
1999-09-06,1,175.0,0.0
1999-09-08,1,30.0,0.0
1999-09-09,1,345.0,0.0
1999-09-16,1,100.0,0.0
1999-09-20,1,98.0,0.0
1999-09-22,1,116.0,0.0
1999-10-14,1,162.0,0.0
1999-10-29,1,117.0,0.0
1999-11-16,1,61.0,0.0
1999-11-17,1,100.0,0.0
1999-11-18,1,50.0,0.0
1999-11-19,1,194.0,0.0
1999-11-24,1,159.0,0.0
1999-11-29,1,113.0,0.0
1999-12-02,1,680.0,0.0
1999-12-07,1,95.0,0.0
1999-12-15,1,15.0,0.0
1999-12-16,1,113.0,0.0
1999-12-17,1,125.0,0.0
1999-12-27,1,60.0,0.0
2000-01-17,1,113.0,0.0
2000-01-21,1,500.0,0.0
2000-03-01,1,200.0,0.0
2000-03-10,1,20.0,0.0
2000-03-14,1,100.0,0.0
2000-03-15,1,39.0,0.0
2000-03-22,1,100.0,0.0
2000-03-24,1,100.0,0.0
2000-04-10,1,32.0,0.0
2000-04-18,1,29.0,0.0
2000-04-26,1,38.0,0.0
2000-06-19,1,588.0,0.0
2000-07-13,1,200.0,0.0
2000-07-14,1,100.0,0.0
2000-07-17,1,120.0,0.0
2000-07-25,1,181.0,0.0
2000-08-25,1,50.0,0.0
2000-08-28,1,60.0,0.0
2000-09-01,1,56.0,0.0
2000-09-04,1,54.0,0.0
2000-09-15,1,60.0,0.0
2000-09-20,1,20.0,0.0
2000-10-20,1,18.0,0.0
2000-10-24,1,200.0,0.0
2000-10-25,1,22.0,0.0
2000-11-09,1,40.0,0.0
2000-12-01,1,104.0,0.0
2000-12-04,1,10.0,0.0
2000-12-11,1,600.0,0.0
2001-03-28,1,15.0,0.0
2001-05-10,1,500.0,0.0
2001-06-15,1,100.0,0.0
2001-07-26,1,20.0,0.0
2001-08-14,1,200.0,0.0
2001-08-29,1,100.0,0.0
2001-09-11,1,78.0,0.0
2001-09-13,1,50.0,0.0
2001-09-28,1,950.0,0.0
2001-10-12,1,84.0,0.0
2001-10-18,1,503.0,0.0
2001-10-22,1,50.0,0.0
2001-11-01,1,120.0,0.0
2001-11-12,1,150.0,0.0
2002-03-01,1,100.0,0.0
2002-07-11,1,100.0,0.0
2002-07-22,1,865.0,0.0
2002-07-24,1,195.0,0.0
2002-08-15,1,30.0,0.0
2002-10-11,1,1000.0,0.0
2002-11-19,1,120.0,0.0
2002-11-21,1,116.0,0.0
2002-11-25,1,39.0,0.0
2002-12-02,1,180.0,0.0
2002-12-04,1,410.0,0.0
2002-12-05,1,455.0,0.0
2002-12-06,1,47.0,0.0
2002-12-09,1,16.0,0.0
2002-12-27,1,180.0,0.0
2003-01-15,1,100.0,0.0
2003-03-25,1,100.0,0.0
2003-04-18,1,25.0,0.0
2003-04-30,1,53.0,0.0
2003-05-15,1,26.0,0.0
2003-05-20,1,44.0,0.0
2003-05-21,1,200.0,0.0
2003-05-22,1,200.0,0.0
2003-06-05,1,100.0,0.0
2003-06-06,1,90.0,0.0
2003-06-09,1,200.0,0.0
2003-06-13,1,30.0,0.0
2003-06-18,2,91.0,0.0
2003-06-19,1,760.0,0.0
2003-06-20,1,100.0,0.0
2003-06-23,1,50.0,0.0
2003-06-24,1,480.0,0.0
2003-06-25,1,170.0,0.0
2003-06-27,1,90.0,0.0
2003-06-30,1,310.0,0.0
2003-07-01,1,200.0,0.0
2003-07-02,1,80.0,0.0
2003-07-03,1,50.0,0.0
2003-07-08,1,290.0,0.0
2003-07-10,1,20.0,0.0
2003-07-11,1,120.0,0.0
2003-07-14,2,160.0,0.0
2003-07-23,1,120.0,0.0
2003-07-24,1,120.0,0.0
2003-07-25,1,22.0,0.0
2003-07-28,2,875.0,0.0
2003-07-30,1,20.0,0.0
2003-07-31,1,50.0,0.0
2003-08-01,2,110.0,0.0
2003-08-04,1,50.0,0.0
2003-08-07,1,600.0,0.0
2003-08-08,1,210.0,0.0
2003-08-11,2,1023.0,0.0
2003-08-13,1,110.0,0.0
2003-08-14,1,370.0,0.0
2003-08-15,1,240.0,0.0
2003-09-01,1,15.0,0.0
2003-09-05,1,120.0,0.0
2003-09-12,1,200.0,0.0
2003-09-16,1,10.0,0.0
2003-09-17,1,20.0,0.0
2003-09-18,1,20.0,0.0
2003-09-19,1,70.0,0.0
2003-09-22,2,527.0,0.0
2003-09-23,1,700.0,0.0
2003-09-24,1,1600.0,0.0
2003-09-25,1,420.0,0.0
2003-09-26,1,220.0,0.0
2003-09-29,1,1059.0,0.0
2003-09-30,1,30.0,0.0
2003-10-08,1,10.0,0.0
2003-10-15,1,100.0,0.0
2003-10-16,2,6500.0,0.0
2003-10-17,1,3020.0,0.0
2003-10-20,1,50.0,0.0
2003-10-21,1,460.0,0.0
2003-10-22,1,432.0,0.0
2003-10-28,1,20.0,0.0
2003-10-30,1,500.0,0.0
2003-10-31,1,20.0,0.0
2003-11-04,1,10.0,0.0
2003-11-05,1,70.0,0.0
2003-11-06,1,500.0,0.0
2003-11-10,1,40.0,0.0
2003-11-12,1,190.0,0.0
2003-11-14,1,250.0,0.0
2003-11-17,1,70.0,0.0
2003-11-19,1,50.0,0.0
2003-11-24,1,100.0,0.0
2003-11-25,1,10.0,0.0
2003-11-28,1,10.0,0.0
2003-12-02,1,60.0,0.0
2003-12-04,1,50.0,0.0
2003-12-08,1,50.0,0.0
2003-12-09,1,340.0,0.0
2003-12-10,1,40.0,0.0
2003-12-11,1,100.0,0.0
2003-12-12,1,1600.0,0.0
2003-12-15,1,10.0,0.0
2003-12-18,2,80.0,0.0
