published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,symbol
2026-08-12,927.9,943.0,906.3,943.0,1.63,628.0,578185.9,1,ACLBSL
2026-08-12,301.0,304.8,301.0,304.0,0.5,34081.0,10338632.1,1,ADBL
2026-08-12,410.0,419.5,408.0,416.5,-0.12,1032.0,425519.0,1,AHL
2026-08-12,267.0,267.0,263.2,264.0,-0.08,62813.0,16587133.9,-1,AHPC
2026-08-12,350.0,368.8,350.0,363.8,-0.33,259591.0,94002269.5,1,AKJCL
2026-08-12,255.0,255.9,251.0,252.0,-0.9,57770.0,14593763.8,-1,AKPL
2026-08-12,1070.0,1141.0,1070.0,1114.0,0.01,4715.0,5204107.4,1,ALBSL
2026-08-12,428.7,428.7,416.1,418.0,-0.48,9785.0,4092606.9,-1,ALICL
2026-08-12,5200.0,5755.9,5200.0,5305.0,-2.45,2070.0,11196641.4,1,ANLB
2026-08-12,830.0,830.0,813.1,815.0,-1.81,11981.0,9808954.7,-1,APHL
2026-08-12,339.8,339.8,328.3,331.0,-0.3,116519.0,38480846.7,-1,API
2026-08-12,1043.0,1060.0,1043.0,1060.0,1.63,2924.0,3091325.2,1,AVYAN
2026-08-12,700.0,700.0,680.0,685.0,-0.16,7274.0,5003712.4,-1,BANDIPUR
2026-08-12,319.1,323.9,317.1,317.5,-0.5,16723.0,5319246.6,-1,BARUN
2026-08-12,4181.0,4250.0,4122.0,4200.0,-0.24,271.0,1137038.1,1,BBC
2026-08-12,323.0,325.0,315.2,316.0,-0.63,10321.0,3265859.9,-1,BEDC
2026-08-12,499.0,501.0,493.3,493.9,0.39,28745.0,14217792.9,-1,BFC
2026-08-12,545.0,545.0,535.0,537.6,-1.36,567.0,304575.6,-1,BGWT
2026-08-12,466.0,498.0,466.0,493.0,0.61,12040.0,5901408.5,1,BHCL
2026-08-12,433.0,433.0,425.4,428.5,0.09,2217.0,945881.3,-1,BHDC
2026-08-12,208.0,210.0,207.0,207.7,-0.14,23636.0,4921248.3,-1,BHL
2026-08-12,499.0,499.0,483.0,485.0,-2.81,1640.0,798885.0,-1,BHPL
2026-08-12,681.0,692.0,677.1,684.0,0.44,7016.0,4774199.9,1,BJHL
2026-08-12,290.0,290.0,280.1,281.6,-1.02,12650.0,3561571.9,-1,BNHC
2026-08-12,11550.0,11600.0,11550.0,11600.0,0.43,110.0,1275500.0,1,BNT
2026-08-12,653.0,706.4,643.0,655.0,1.24,22253.0,14515230.2,1,BPCL
2026-08-12,591.0,599.9,586.0,588.0,-0.51,10866.0,6399081.3,-1,BUNGAL
2026-08-12,10.0,10.0,10.0,10.0,0.3,120.0,1200.0,0,C30MF
2026-08-12,928.2,936.0,928.1,933.0,0.32,5915.0,5510656.5,1,CBBL
2026-08-12,625.1,697.0,625.1,650.0,-1.22,343174.0,224849937.4,1,CFCL
2026-08-12,775.0,780.0,773.4,778.0,0.22,6251.0,4851481.9,1,CGH
2026-08-12,482.1,486.5,480.0,481.0,-0.21,9938.0,4779120.1,-1,CHCL
2026-08-12,2180.0,2251.0,2175.0,2238.0,2.85,18189.0,40310605.6,1,CHDC
2026-08-12,260.0,267.8,260.0,264.0,-1.23,9457.0,2502193.9,1,CHL
2026-08-12,1709.9,1709.9,1700.0,1704.7,0.1,3114.0,5301832.6,-1,CIT
2026-08-12,366.1,374.9,366.0,372.0,0.4,89313.0,33035725.1,1,CITY
2026-08-12,582.0,609.0,571.0,609.0,1.67,1641.0,976515.0,1,CKHL
