symbol,Particular,081-082Q1,081-082Q2,081-082Q3,081-082Q4,082-083Q1,082-083Q2,082-083Q3,082-083Q4
NABIL,PE Ratio,21.0,18.5,18.7,19.9,20.1,18.4,19.5,20.1
NABIL,PB Ratio,2.6,2.2,2.2,2.2,2.1,2.3,2.4,2.3
NABIL,PS Ratio,3.6,3.1,3.1,3.5,3.5,4.1,4.2,4.0
NABIL,ROE TTM,13.08 %,12.13 %,12.47 %,11.65 %,10.96 %,13.58 %,13.15 %,11.36 %
NABIL,ROA TTM,1.42 %,1.28 %,1.30 %,1.20 %,1.10 %,1.35 %,1.28 %,1.08 %
NABIL,Net Margin TTM,17.00 %,16.56 %,18.08 %,17.61 %,17.31 %,22.02 %,22.30 %,19.99 %
NABIL,Asset Turnover TTM,8.34 %,7.71 %,7.17 %,6.79 %,6.37 %,6.12 %,5.73 %,5.42 %
NABIL,EPS TTM  YOY,28.26  3.00 %,26.25  -2.89 %,27.51  5.15 %,26.34  0.96 %,25.24  -10.71 %,31.94  21.71 %,31.57  14.74 %,27.74  5.31 %
NABIL,BVPS  YOY,229.48  5.14 %,219.01  7.13 %,226.36  8.62 %,235.58  7.00 %,240.72  4.90 %,254.12  16.03 %,243.30  7.48 %,247.28  4.97 %
NABIL,Net Profit Till Qtr  YOY,205.66 Cr.  39.97 %,324.43 Cr.  1.29 %,505.14 Cr.  8.21 %,712.76 Cr.  0.96 %,175.70 Cr.  -14.57 %,475.96 Cr.  46.71 %,646.46 Cr.  27.98 %,750.58 Cr.  5.31 %
NABIL,Revenue Till Qtr  YOY,"1,082.00 Cr.  -10.81 %","2,041.94 Cr.  -14.36 %","3,031.38 Cr.  -14.46 %","4,047.05 Cr.  -12.60 %",980.11 Cr.  -9.42 %,"1,920.08 Cr.  -5.97 %","2,814.37 Cr.  -7.16 %","3,755.54 Cr.  -7.20 %"
NABIL,Net Profit TTM  YOY,764.73 Cr.  3.00 %,710.12 Cr.  -2.89 %,744.34 Cr.  5.15 %,712.76 Cr.  0.96 %,682.80 Cr.  -10.71 %,864.29 Cr.  21.71 %,854.08 Cr.  14.74 %,750.58 Cr.  5.31 %
NABIL,Revenue TTM  YOY,"4,499.13 Cr.  -6.79 %","4,287.88 Cr.  -12.24 %","4,117.74 Cr.  -15.87 %","4,047.05 Cr.  -12.60 %","3,945.16 Cr.  -12.31 %","3,925.19 Cr.  -8.46 %","3,830.04 Cr.  -6.99 %","3,755.54 Cr.  -7.20 %"
