symbol,status,tables,rows,message,updated_at_utc
ACLBSL,no_financial_table,0,0,No qualifying financial table appeared within 25s.,2026-08-26T01:49:35.291074+00:00
ADBL,blocked,0,0,NEPSEAlpha's browser-security verification did not clear in time. The saved progress is safe; rerun later to resume.,2026-09-05T16:14:01.577548+00:00
ADBLD83,failed,0,0,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=152.0.7977.66)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5d7d]
	chromedriver!(No symbol) [0x7ff61cfacd42]
	chromedriver!(No symbol) [0x7ff61d060976]
	chromedriver!(No symbol) [0x7ff61d07dddd]
	chromedriver!(No symbol) [0x7ff61d022e4b]
	chromedriver!(No symbol) [0x7ff61d023d83]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61d1afdd4]
	chromedriver!(No symbol) [0x7ff61d1aff64]
	chromedriver!(No symbol) [0x7ff61d19a91c]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:07:37.359152+00:00
AHL,failed,0,0,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=152.0.7977.66)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5d7d]
	chromedriver!(No symbol) [0x7ff61cfacd42]
	chromedriver!(No symbol) [0x7ff61d060976]
	chromedriver!(No symbol) [0x7ff61d07dddd]
	chromedriver!(No symbol) [0x7ff61d022e4b]
	chromedriver!(No symbol) [0x7ff61d023d83]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61d1afdd4]
	chromedriver!(No symbol) [0x7ff61d1aff64]
	chromedriver!(No symbol) [0x7ff61d19a91c]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:07:44.186263+00:00
AHPC,failed,0,0,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=152.0.7977.66)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5d7d]
	chromedriver!(No symbol) [0x7ff61cfacd42]
	chromedriver!(No symbol) [0x7ff61d060976]
	chromedriver!(No symbol) [0x7ff61d07dddd]
	chromedriver!(No symbol) [0x7ff61d022e4b]
	chromedriver!(No symbol) [0x7ff61d023d83]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61d1afdd4]
	chromedriver!(No symbol) [0x7ff61d1aff64]
	chromedriver!(No symbol) [0x7ff61d19a91c]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:07:50.883669+00:00
AKJCL,failed,0,0,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5b66]
	chromedriver!(No symbol) [0x7ff61d021ec3]
	chromedriver!(No symbol) [0x7ff61d0594d2]
	chromedriver!(No symbol) [0x7ff61d05333a]
	chromedriver!(No symbol) [0x7ff61d052ae3]
	chromedriver!(No symbol) [0x7ff61cf9ddbb]
	chromedriver!(No symbol) [0x7ff61cf9e412]
	chromedriver!(No symbol) [0x7ff61cf9e9d5]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61cf9d157]
	chromedriver!GetHandleVerifier [0x7ff61d71e798+4a5ea8]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:03:24.288767+00:00
AKPL,failed,0,0,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5b66]
	chromedriver!(No symbol) [0x7ff61d021ec3]
	chromedriver!(No symbol) [0x7ff61d0594d2]
	chromedriver!(No symbol) [0x7ff61d05333a]
	chromedriver!(No symbol) [0x7ff61d052ae3]
	chromedriver!(No symbol) [0x7ff61cf9ddbb]
	chromedriver!(No symbol) [0x7ff61cf9e412]
	chromedriver!(No symbol) [0x7ff61cf9e9d5]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61cf9d157]
	chromedriver!GetHandleVerifier [0x7ff61d71e798+4a5ea8]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:03:29.393172+00:00
ALBSL,failed,0,0,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5b66]
	chromedriver!(No symbol) [0x7ff61d021ec3]
	chromedriver!(No symbol) [0x7ff61d0594d2]
	chromedriver!(No symbol) [0x7ff61d05333a]
	chromedriver!(No symbol) [0x7ff61d052ae3]
	chromedriver!(No symbol) [0x7ff61cf9ddbb]
	chromedriver!(No symbol) [0x7ff61cf9e412]
	chromedriver!(No symbol) [0x7ff61cf9e9d5]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61cf9d157]
	chromedriver!GetHandleVerifier [0x7ff61d71e798+4a5ea8]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:03:36.118043+00:00
ALICL,failed,0,0,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5b66]
	chromedriver!(No symbol) [0x7ff61d021ec3]
	chromedriver!(No symbol) [0x7ff61d0594d2]
	chromedriver!(No symbol) [0x7ff61d05333a]
	chromedriver!(No symbol) [0x7ff61d052ae3]
	chromedriver!(No symbol) [0x7ff61cf9ddbb]
	chromedriver!(No symbol) [0x7ff61cf9e412]
	chromedriver!(No symbol) [0x7ff61cf9e9d5]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61cf9d157]
	chromedriver!GetHandleVerifier [0x7ff61d71e798+4a5ea8]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:03:42.909212+00:00
ANLB,failed,0,0,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff61d27e035+5745]
	chromedriver!(No symbol) [0x7ff61d1a6a90]
	chromedriver!(No symbol) [0x7ff61cfd5b66]
	chromedriver!(No symbol) [0x7ff61d021ec3]
	chromedriver!(No symbol) [0x7ff61d0594d2]
	chromedriver!(No symbol) [0x7ff61d05333a]
	chromedriver!(No symbol) [0x7ff61d052ae3]
	chromedriver!(No symbol) [0x7ff61cf9ddbb]
	chromedriver!(No symbol) [0x7ff61cf9e412]
	chromedriver!(No symbol) [0x7ff61cf9e9d5]
	chromedriver!GetHandleVerifier [0x7ff61d692f8b+41a69b]
	chromedriver!GetHandleVerifier [0x7ff61d6c0132+447842]
	chromedriver!GetHandleVerifier [0x7ff61d6b3e7e+43b58e]
	chromedriver!GetHandleVerifier [0x7ff61d373f5e+fb66e]
	chromedriver!(No symbol) [0x7ff61d1b419c]
	chromedriver!(No symbol) [0x7ff61cf9d157]
	chromedriver!GetHandleVerifier [0x7ff61d71e798+4a5ea8]
	KERNEL32!BaseThreadInitThunk [0x7ff8f04fccb7+17]
	ntdll!RtlUserThreadStart [0x7ff8f108ad6c+2c]
",2026-09-05T16:03:48.728980+00:00
