symbol,sector
ADBL,Commercial Banks
CZBIL,Commercial Banks
EBL,Commercial Banks
GBIME,Commercial Banks
HBL,Commercial Banks
KBL,Commercial Banks
LSL,Commercial Banks
MBL,Commercial Banks
NABIL,Commercial Banks
NBL,Commercial Banks
NICA,Commercial Banks
NIMB,Commercial Banks
NMB,Commercial Banks
PCBL,Commercial Banks
PRVU,Commercial Banks
SANIMA,Commercial Banks
SBI,Commercial Banks
SBL,Commercial Banks
SCB,Commercial Banks
CORBL,Development Banks
EDBL,Development Banks
GBBL,Development Banks
GRDBL,Development Banks
JBBL,Development Banks
KSBBL,Development Banks
LBBL,Development Banks
MDB,Development Banks
MLBL,Development Banks
MNBBL,Development Banks
NABBC,Development Banks
SABBL,Development Banks
SADBL,Development Banks
SAPDBL,Development Banks
SHINE,Development Banks
SINDU,Development Banks
BFC,Finance
CFCL,Finance
GFCL,Finance
GMFIL,Finance
GUFL,Finance
ICFC,Finance
JFL,Finance
MFIL,Finance
MPFL,Finance
NFS,Finance
PFL,Finance
PROFL,Finance
RLFL,Finance
SFCL,Finance
SIFC,Finance
BANDIPUR,Hotels/Tourism
CGH,Hotels/Tourism
CITY,Hotels/Tourism
HFIN,Hotels/Tourism
KDL,Hotels/Tourism
OHL,Hotels/Tourism
SHL,Hotels/Tourism
TRH,Hotels/Tourism
AHL,Hydropower
AHPC,Hydropower
AKJCL,Hydropower
AKPL,Hydropower
APHL,Hydropower
API,Hydropower
BARUN,Hydropower
BEDC,Hydropower
BGWT,Hydropower
BHCL,Hydropower
BHDC,Hydropower
BHL,Hydropower
BHPL,Hydropower
BJHL,Hydropower
BNHC,Hydropower
BPCL,Hydropower
BUNGAL,Hydropower
CHCL,Hydropower
CHL,Hydropower
CKHL,Hydropower
DHEL,Hydropower
DHPL,Hydropower
DOLTI,Hydropower
DORDI,Hydropower
EHPL,Hydropower
GHL,Hydropower
GLH,Hydropower
GVL,Hydropower
HDHPC,Hydropower
HHL,Hydropower
HIMSTAR,Hydropower
HPPL,Hydropower
HURJA,Hydropower
IHL,Hydropower
JOSHI,Hydropower
KAHL,Hydropower
KBSH,Hydropower
KHPL,Hydropower
KKHC,Hydropower
KPCL,Hydropower
LEC,Hydropower
MABEL,Hydropower
MAKAR,Hydropower
